where,our interest in this microorganism,"Our interest in this microorganism was triggered by a recent study where M. canis was associated with acute respiratory disease in dogs [20] , which along with our findings provide further insights into a potential role of M. canis in CIRD.","['trigger,verb,nsubjpass,y', 'trigger,verb,agent,by', 'by,adp,pobj,x']"
m. canis,acute respiratory disease in dogs [20,"Our interest in this microorganism was triggered by a recent study where M. canis was associated with acute respiratory disease in dogs [20] , which along with our findings provide further insights into a potential role of M. canis in CIRD.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
m. canis,along with our findings,"Our interest in this microorganism was triggered by a recent study where M. canis was associated with acute respiratory disease in dogs [20] , which along with our findings provide further insights into a potential role of M. canis in CIRD.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
where,our interest in this microorganism,"Our interest in this microorganism was triggered by a recent study where M. canis was associated with acute respiratory disease in dogs[20] , which along with our findings provide further insights into a potential role of M. canis in CIRD.","['trigger,verb,nsubjpass,y', 'trigger,verb,agent,by', 'by,adp,pobj,x']"
m. canis,acute respiratory disease in dogs[20,"Our interest in this microorganism was triggered by a recent study where M. canis was associated with acute respiratory disease in dogs[20] , which along with our findings provide further insights into a potential role of M. canis in CIRD.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
some cns diseases,a selected group of common microbial,"Our study aimed to find (1) if some CNS diseases could be associated with a selected group of common microbial or viral pathogens in dogs and (2) if CNS diseases have any characteristic profile with regard to 2 parameters, C-reactive protein (CRP) and IgA, that are reported to be potentially useful but unspecific markers of CNS diseases.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
oral topical administration of the active agent,a trend of frequency reduction,"Our study showed that oral topical administration of the active agent was associated with a trend of frequency reduction, and significantly reduced severity and duration of cough and sore throat associated with URIs.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
oral topical administration of the active agent,uris,"Our study showed that oral topical administration of the active agent was associated with a trend of frequency reduction, and significantly reduced severity and duration of cough and sore throat associated with URIs.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
picornaviral infections,a strong shut-off of cellular translation,Picornaviral infections are associated with a strong shut-off of cellular translation without affecting viral mRNA expression.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
ha-specific memory b cells,dominant responses,"Preparation of broadly neutralizing antibodies in naive animal donors is potentially inexpensive and independent of host immune memory to influenza viruses, where dominant responses from HA-specific memory B cells are often induced by vaccination or natural infection, a phenomenon first described as original antigenic sin.","['y,noun,prep,from', 'from,adp,pobj,x']"
vaccination,inexpensive and independent of host immune memory to influenza viruses,"Preparation of broadly neutralizing antibodies in naive animal donors is potentially inexpensive and independent of host immune memory to influenza viruses, where dominant responses from HA-specific memory B cells are often induced by vaccination or natural infection, a phenomenon first described as original antigenic sin.","['y,noun,relcl,induce', 'induce,verb,agent,by', 'by,adp,pobj,x']"
vaccination or natural infection,inexpensive and independent of host immune memory to influenza viruses,"Preparation of broadly neutralizing antibodies in naive animal donors is potentially inexpensive and independent of host immune memory to influenza viruses, where dominant responses from HA-specific memory B cells are often induced by vaccination or natural infection, a phenomenon first described as original antigenic sin.","['y,noun,relcl,induce', 'induce,verb,agent,by', 'by,adp,pobj,x']"
vaccination,ha-specific memory b cells,"Preparation of broadly neutralizing antibodies in naive animal donors is potentially inexpensive and independent of host immune memory to influenza viruses, where dominant responses from HA-specific memory B cells are often induced by vaccination or natural infection, a phenomenon first described as original antigenic sin.","['induce,verb,nsubjpass,y', 'induce,verb,agent,by', 'by,adp,pobj,x']"
vaccination or natural infection,ha-specific memory b cells,"Preparation of broadly neutralizing antibodies in naive animal donors is potentially inexpensive and independent of host immune memory to influenza viruses, where dominant responses from HA-specific memory B cells are often induced by vaccination or natural infection, a phenomenon first described as original antigenic sin.","['induce,verb,nsubjpass,y', 'induce,verb,agent,by', 'by,adp,pobj,x']"
a small number of sequences,ese peaks,These peaks were due to a small number of sequences with 565 insertions.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adj,prep,to', 'to,adp,pobj,x']"
snps,sepsis,Previous data indicates that SNPs may be associated with a poor prognosis from sepsis .,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
sepsis,a poor prognosis,Previous data indicates that SNPs may be associated with a poor prognosis from sepsis .,"['y,noun,prep,from', 'from,adp,pobj,x']"
an abnormally high level of,severe tissue damages,Previous evidence suggests that an abnormally high level of IL-6 can cause  severe tissue damages and increase disease severity.,"['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
progeny particles,lamp2,"Previous reports pointed that progeny particles are associated with lamp2, a protein present in the membrane of lysosomes and late endosomes/multivesicular bodies.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
disease,acute respiratory distress syndrome,"Rather, MERS-CoV infection is similar to Severe Acute Respiratory Syndrome coronavirus (SARS-CoV), as disease is associated with acute respiratory distress syndrome.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
aberrant apod expression,altered lipid metabolism,Recent data indicate that aberrant apoD expression is associated with altered lipid metabolism and risk of coronary artery disease.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
aberrant apod expression,altered lipid metabolism and risk,Recent data indicate that aberrant apoD expression is associated with altered lipid metabolism and risk of coronary artery disease.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
the 2009 h1n1 virus 40,the 2009 influenza pandemic,"Recent examples illustrating this point are provided by the 2009 influenza pandemic caused by the 2009 H1N1 virus 40, the worldwide concern about antimicrobial resistance posed by NDM-1 producing bacteria 41 , and the large outbreak of haemolytic uraemic syndrome caused by a strain of","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a strain of,"recent examples illustrating this point are provided by the 2009 influenza pandemic caused by the 2009 h1n1 virus 40, the worldwide concern about antimicrobial resistance posed by ndm-1 producing bacteria 41 , and the large outbreak of haemolytic uraemic syndrome","Recent examples illustrating this point are provided by the 2009 influenza pandemic caused by the 2009 H1N1 virus 40, the worldwide concern about antimicrobial resistance posed by NDM-1 producing bacteria 41 , and the large outbreak of haemolytic uraemic syndrome caused by a strain of","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
ph1n1 infection,increase in mortality in patients with late and advanced hiv disease and,Recent reports indicate that pH1N1 infection was associated with increase in mortality in patients with late and advanced HIV disease and increased cell death was found in pH1N1-infected Jurkat cells after HIV-1 infection.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
ph1n1 infection,late and advanced hiv disease and,Recent reports indicate that pH1N1 infection was associated with increase in mortality in patients with late and advanced HIV disease and increased cell death was found in pH1N1-infected Jurkat cells after HIV-1 infection.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
ph1n1 infection,increase in mortality in patients with late and advanced hiv disease and increased cell death,Recent reports indicate that pH1N1 infection was associated with increase in mortality in patients with late and advanced HIV disease and increased cell death was found in pH1N1-infected Jurkat cells after HIV-1 infection.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
respiratory viral infections,more frequent and severe ae-copd,Respiratory viral infections have been associated with more frequent and severe AE-COPD and also with longer recovery times than 2 Advances in Virology,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
respiratory viral infections,longer recovery times than 2 advances in virology,Respiratory viral infections have been associated with more frequent and severe AE-COPD and also with longer recovery times than 2 Advances in Virology,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
other factors including bacteria,episodes,episodes caused by other factors including bacteria.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
bacteria,episodes,episodes caused by other factors including bacteria.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
the arg 972 irs-1 polymorphism,ace2 activation in mi patients,Results from one of our pilot studies suggested that  the Arg 972 IRS-1 polymorphism might be associated with  ACE2 activation in MI patients .,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
accidental trauma,rhodesian ridgeback,"Rhodesian ridgeback, 7 years old, female, with monolateral aural hematoma  caused by accidental trauma, appeared 21 days before, treated with centesis and corticosteroids therapy, with initial improvement, but subsequent relapse.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
rsv infection in infants,bacterial infections,"RSV infection in infants and children has been associated with an increased risk of secondary bacterial infections, such as otitis media mainly due to secondary Streptococcus infection.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
all nontyphoid serotypes of the salmonella genus,salmonellosis,"Salmonellosis is caused by all nontyphoid serotypes of the Salmonella genus (excluding S. typhi and S. Paratyphi A, B and C), isolated both from humans and animals, including livestock.","['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
anticoagulants,osteonecrosis,"Several researchers have shown that steroid-induced osteonecrosis can be prevented by anticoagulants or lipid-lowering agents, with reductions in osteonecrosis that range from 30% to 40%.","['prevent,verb,nsubjpass,y', 'prevent,verb,agent,by', 'by,adp,pobj,x']"
anticoagulants or lipid-lowering agents,osteonecrosis,"Several researchers have shown that steroid-induced osteonecrosis can be prevented by anticoagulants or lipid-lowering agents, with reductions in osteonecrosis that range from 30% to 40%.","['prevent,verb,nsubjpass,y', 'prevent,verb,agent,by', 'by,adp,pobj,x']"
the epithelial barrier,an acute inflammatory response in the lung parenchyma,Severe damage caused to the epithelial barrier is associated with an acute inflammatory response in the lung parenchyma along with edema accumulation.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
the epithelial barrier,an acute inflammatory response in the lung parenchyma along with edema accumulation,Severe damage caused to the epithelial barrier is associated with an acute inflammatory response in the lung parenchyma along with edema accumulation.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
the cytokine storm,more severe disease,"Since an uncontrolled inflammatory response to influenza infection can cause complications such as pulmonary oedema, and the cytokine storm has been associated with more severe disease and higher mortality [192] ), this suppression of the hyper-inflammatory response may be beneficial in preventing immunopathology.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
the cytokine storm,more severe disease and higher mortality,"Since an uncontrolled inflammatory response to influenza infection can cause complications such as pulmonary oedema, and the cytokine storm has been associated with more severe disease and higher mortality [192] ), this suppression of the hyper-inflammatory response may be beneficial in preventing immunopathology.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
exacerbated inflammatory responses,severe influenza virus infection,"Since exacerbated inflammatory responses are associated with severe influenza virus infection, amount of pro-inflammatory cytokines and chemokines in the BALF were also assessed (Fig 1c-1h) .","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
higher levels of serum estradiol (e2,an increased risk of breast cancer development,Higher levels of serum estradiol (E2) are associated with an increased risk of breast cancer development.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a strain similar to the usa oh851 mild strain,a new important epidemic wave of ped,"Since January 2015, Italy is facing a new important epidemic wave of PED caused by a strain similar to the USA OH851 mild strain (Lavazza A. and Boniotti B., personal observations).","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
dust mites,allergic processes,"Since the mid-1960s, dust mites have been associated with allergic processes and identified as a causative agent of airway diseases, being considered one of the most important sources of allergens for humans.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
sm21,a reduction of 12% in cell viability,"SM21 caused a reduction of 12% in cell viability compared with the untreated controls, which is lower than the 22% reduction observed for amphotericin B.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
snps in the ifnl3 gene,a risk of progression to chronic infection,SNPs in the IFNL3 gene were associated with a risk of progression to chronic infection and significantly lower rates of HCV clearance in response to IFN-a-based treatment.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
solid cancer,an aor of 2.0,"Solid cancer, the most common comorbidity in ON, was associated with an aOR of 2.0.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
an unknown pathogen,an outbreak,"Sometimes an outbreak caused by an unknown pathogen may occur, such as SARS.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
administration of corticosteroids,a common orthopaedic problem,Steroid-associated osteonecrosis (SAON) is a common orthopaedic problem caused by administration of corticosteroids prescribed for many nonorthopaedic medical conditions.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
phytosterols,anti-inflammatory effects in rodent models of colitis,"Structurally similar to cholesterol, phytosterols have been associated with anti-inflammatory effects in rodent models of colitis.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
a variety of pathogen infections,a cytokine storm,"Studies found that a variety of pathogen infections can cause a cytokine storm, which may cause acute respiratory distress syndrome and multiple organ failure.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
a variety of pathogen infections,acute respiratory distress syndrome,"Studies found that a variety of pathogen infections can cause a cytokine storm, which may cause acute respiratory distress syndrome and multiple organ failure.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
a variety of pathogen infections,acute respiratory distress syndrome and multiple organ failure,"Studies found that a variety of pathogen infections can cause a cytokine storm, which may cause acute respiratory distress syndrome and multiple organ failure.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
successful multimodal interventions,an overall organizational culture change,"Successful multimodal interventions should be associated with an overall organizational culture change as effective IPC can be a reflector of quality care, a positive organizational culture and an enhanced patient safety climate.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
dietary sodium,a dose-dependent reduction in weight gain,"Surprisingly, and contrary to our original hypothesis,  dietary sodium caused  a dose-dependent reduction in weight gain during HFD-feeding","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
all four nk-lysin peptides,damage to h. somni cell membranes,"Taken together, both confocal microscopic and flow cytometric analysis suggest that all four NK-lysin peptides caused damage to H. somni cell membranes and are bactericidal in nature.","['cause,verb,nsubj,x', 'cause,verb,dobj,y']"
the survival,an important reduction of the virus burden in the lungs of mice treated with pn-sia49,"Taken together, these results indicate that the survival was associated with an important reduction of the virus burden in the lungs of mice treated with PN-SIA49 and that the reduction is concordant with its in-vivo activity.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
the survival,pn-sia49,"Taken together, these results indicate that the survival was associated with an important reduction of the virus burden in the lungs of mice treated with PN-SIA49 and that the reduction is concordant with its in-vivo activity.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
increased cholesterol blood levels,the atherosclerosis vascular disease,The atherosclerosis vascular disease (ASVD) is caused by an inflammation of the arterial wall that is caused by increased cholesterol blood levels and an accumulation of cholesterol crystals in the subendothelial spaces leading to arteriosclerotic plaque formation .,"['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
an accumulation of cholesterol crystals,the atherosclerosis vascular disease,The atherosclerosis vascular disease (ASVD) is caused by an inflammation of the arterial wall that is caused by increased cholesterol blood levels and an accumulation of cholesterol crystals in the subendothelial spaces leading to arteriosclerotic plaque formation .,"['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
increased cholesterol blood levels,the atherosclerosis vascular disease,The atherosclerosis vascular disease (ASVD) is caused by an inflammation of the arterial wall that is caused by increased cholesterol blood levels and an accumulation of cholesterol crystals in the subendothelial spaces leading to arteriosclerotic plaque formation [127] .,"['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
an accumulation of cholesterol crystals,the atherosclerosis vascular disease,The atherosclerosis vascular disease (ASVD) is caused by an inflammation of the arterial wall that is caused by increased cholesterol blood levels and an accumulation of cholesterol crystals in the subendothelial spaces leading to arteriosclerotic plaque formation [127] .,"['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a punctual mutation at exon 29 of the pkd-1 gene,it,"The autosomal dominant polycystic kidney disease (PKD) is characterized by the presence of multiple cysts in the renal parenchyma and occasionally in liver and pancreas, and it is caused by a punctual mutation at exon 29 of the PKD-1 gene.","['cause,verb,nsubjpass,y', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a single 'typical' primary case in a fully susceptible population,cases,"The basic reproduction number, R 0 , representing the average number of secondary cases produced by a single 'typical' primary case in a fully susceptible population is computed as the largest eigenvalue of the next-generation matrix (4) .","['y,noun,acl,produce', 'produce,verb,agent,by', 'by,adp,pobj,x']"
a primary case,infections,The basic reproductive number (R0) refers to the average number of secondary infections caused by a primary case and is commonly used to characterize the transmissibility potential of a disease in a completely susceptible population.,"['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
an infected individual,the expected number of new infections,"The basic reproductive ratio is the expected number of new infections caused by an infected individual in an otherwise susceptible population, which for our model equals","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
the beginning of,a seafood market selling live animals which most patients had attended,The beginning of  the COVID-19 outbreak was associated with a seafood market selling live animals which most patients had attended.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
the cell death,activation of caspase-3,The cell death was associated with  activation of caspase-3 and caspase-9.,"['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
an infected host in a susceptible population,infections,"The classic prediction for pathogen outbreak is that  the pathogen's reproductive ratio (R 0 ), the number of secondary infections caused by an infected host in a susceptible population, has to exceed one.","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
antibody-antigen complexes,the classical pathway,The classical pathway is triggered by antibody-antigen complexes whereas the lectin pathway is activated by carbohydrate moieties on the microbial surface.,"['trigger,verb,nsubjpass,y', 'trigger,verb,agent,by', 'by,adp,pobj,x']"
an asthma exacerbation through exposure to irritants,the clinical presentations of this case,the clinical presentations of this case may be due to an asthma exacerbation through exposure to irritants or sensitization to denatonium benzoate.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
irritants,the clinical presentations of this case,the clinical presentations of this case may be due to an asthma exacerbation through exposure to irritants or sensitization to denatonium benzoate.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
an asthma exacerbation through exposure to irritants or sensitization,the clinical presentations of this case,the clinical presentations of this case may be due to an asthma exacerbation through exposure to irritants or sensitization to denatonium benzoate.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
a single infective in a population consisting essentially,infections,"The control reproduction number, a central concept in the study of the spread of communicable diseases, is e the number of secondary infections caused by a single infective in a population consisting essentially only of susceptibles with the control measures in place (quarantined and isolated class).","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
a viral infection,the destabilized defence mechanisms,The destabilized defence mechanisms resulting from a viral infection can  clear the way for a secondary bacterial infection.,"['y,noun,acl,result', 'result,verb,prep,from', 'from,adp,pobj,x']"
a nascent infection,the detection of viruses in control groups,The detection of viruses in control groups without respiratory symptoms might be due to a nascent infection or a persisting colonization from a previous infection.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
a previous infection,the detection of viruses in control groups,The detection of viruses in control groups without respiratory symptoms might be due to a nascent infection or a persisting colonization from a previous infection.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
a previous infection,a nascent infection or a persisting colonization,The detection of viruses in control groups without respiratory symptoms might be due to a nascent infection or a persisting colonization from a previous infection.,"['y,noun,prep,from', 'from,adp,pobj,x']"
a previous infection,a nascent infection,The detection of viruses in control groups without respiratory symptoms might be due to a nascent infection or a persisting colonization from a previous infection.,"['y,noun,prep,from', 'from,adp,pobj,x']"
annual variation in viral activity,the detection rate of hmpv,"The detection rate of HMPV, however, was 13% among hospitalized children with respiratory illness in neighboring India and could be higher because of  annual variation in viral activity.","['be,aux,nsubj,y', 'be,aux,prep,because', 'because,sconj,pobj,x']"
an outbreak of the severe acute respiratory syndrome-coronavirus 2,the disease known as coronavirus disease,"The disease known as coronavirus disease, potentially caused by an outbreak of the severe acute respiratory syndrome-coronavirus 2 (SARS-CoV-2), has hit the world hard 1 .","['y,noun,acl,cause', 'cause,verb,agent,by', 'by,adp,pobj,x']"
several mechanisms,the diversity between the vaccine strains,"The diversity between the vaccine strains and wild-type CDVs may be attributed to several mechanisms,","['attribute,verb,nsubjpass,y', 'attribute,verb,prep,to', 'to,adp,pobj,x']"
the mismatches in the primer binding sites,the failure to amplify,The failure to amplify could be due to the mismatches in the primer binding sites  as a result of genetic diversity among strains of HPIV-3.,"['be,aux,nsubj,y', 'be,aux,acomp,due', 'due,adp,prep,to', 'to,adp,pobj,x']"
an apparent false alarm,the u.s. government biowatch sensors,"The Francisella biocluster primers were used in an investigation to understand why the U.S. Government Biowatch sensors were triggered by an apparent false alarm on September 24-25, 2005 during a large public gathering along the Capital Mall area in Washington, DC.","['trigger,verb,nsubjpass,y', 'trigger,verb,agent,by', 'by,adp,pobj,x']"
a variation in gut flora,an imbalance in the th17/t regulator cell ratio,"The gut harbours the majority of commensal microorganisms, and a variation in gut flora has been associated with an imbalance in the Th17/T regulator cell ratio.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
infection with ebola zaire strain in humans,aberrant innate responses,"The highly fatal outcome of infection with Ebola Zaire strain in humans had been associated with aberrant innate responses, characterized by CS, with hypersecretion of numerous pro-inflammatory cytokines, chemokines and growth factors.","['associate,verb,nsubjpass,x', 'associate,verb,prep,with', 'with,adp,pobj,y']"
