accumulation of ROS in an iron-dependent manner,ferroptosis,"A recently discovered subtype of regulated necrosis, called ferroptosis, is associated with accumulation of ROS in an iron-dependent manner, loss of GSH, and excessive lipid peroxidation."
excessive lipid peroxidation,ferroptosis,"A recently discovered subtype of regulated necrosis, called ferroptosis, is associated with accumulation of ROS in an iron-dependent manner, loss of GSH, and excessive lipid peroxidation."
loss of GSH,ferroptosis,"A recently discovered subtype of regulated necrosis, called ferroptosis, is associated with accumulation of ROS in an iron-dependent manner, loss of GSH, and excessive lipid peroxidation."
A significantly large variety of coronavirus species,a diverse range of diseases in domesticated and wild mammals,"A significantly large variety of coronavirus species cause a diverse range of diseases in domesticated and wild mammals and birds, and these animals may also be carriers of and reservoirs for coronaviruses."
A single infection,future cases distributed according to the probability distribution of the generation interval,A single infection will cause  future cases distributed according to the probability distribution of the generation interval.
a single-base sequencing error,A single residue mismatch,A single residue mismatch may also be due to  a single-base sequencing error.
a significant increase in mean relative humidity,a peak in HPIV-1,"A slight drop in mean temperature and a significant increase in mean relative humidity, from May to October is associated with a peak in HPIV-1."
A slight drop in mean temperature,a peak in HPIV-1,"A slight drop in mean temperature and a significant increase in mean relative humidity, from May to October is associated with a peak in HPIV-1."
A variety of environmental stresses,SG formation in eukaryotic cells,"A variety of environmental stresses, including viral infection, can trigger SG formation in eukaryotic cells."
viral infection,SG formation in eukaryotic cells,"A variety of environmental stresses, including viral infection, can trigger SG formation in eukaryotic cells."
an interaction between a virus and the host,A viral disease,"A viral disease is the result of an interaction between a virus and the host, in which the genetic background plays a role."
Abundance in the lung,screening of respiratory viruses for TMPRSS2 activation of their glycoproteins,Abundance in the lung  has  prompted screening of respiratory viruses for TMPRSS2 activation of their glycoproteins.
a single mutation in epitope,the antigenic change,"According to our algorithm, the reasons why CE-BLAST may detect the antigenic change caused by a single mutation in epitope, cover at least 3 aspects."
MHV,an acute nasoencephalopathy in weanling,"According to published reports, MHV causes an acute nasoencephalopathy in weanling and adult mice after intranasal inoculation, so it was anticipated that MHVJHM would readily enter the CNS of 4-wk-old mice after this route of inoculation ."
a flood in Sichuan in 2011,31 deaths and 160 injuries,"According to statistics, a flood in Sichuan in 2011 caused 31 deaths and 160 injuries."
an infected individual in a susceptible population,R 0 as the average number of new infections,"Accordingly, one can interpret R 0 as the average number of new infections caused by  an infected individual in a susceptible population."
Accumulation of ileal bile acids,significant injury in the small intestine,Accumulation of ileal bile acids causes significant injury in the small intestine and acts in concert with TLR4 pathway.
Accumulation of ileal bile acids,acts in concert with TLR4 pathway,Accumulation of ileal bile acids causes significant injury in the small intestine and acts in concert with TLR4 pathway.
Acidification of the endosome,the subsequent acidi fication of viral lumen via the IAV M2 proton channel,"Acidification of the endosome causes the subsequent acidi fication of viral lumen via the IAV M2 proton channel, which in turn promotes the dissociation of M1 layer from both the viral envelope and the viral ribonucleoprotein complex."
Acquired HPS,"a variety of viral, bacterial and mycobacterial, fungal, and parasitic infections","Acquired HPS has also been associated with a variety of viral, bacterial and mycobacterial, fungal, and parasitic infections, autoimmune diseases, auto-inflammatory syndromes, and tumours, particularly T cell malignancies."
Acquired HPS,autoimmune diseases,"Acquired HPS has also been associated with a variety of viral, bacterial and mycobacterial, fungal, and parasitic infections, autoimmune diseases, auto-inflammatory syndromes, and tumours, particularly T cell malignancies."
Acquired HPS,auto-inflammatory syndromes,"Acquired HPS has also been associated with a variety of viral, bacterial and mycobacterial, fungal, and parasitic infections, autoimmune diseases, auto-inflammatory syndromes, and tumours, particularly T cell malignancies."
Acquired HPS,"tumours, particularly T cell malignancies","Acquired HPS has also been associated with a variety of viral, bacterial and mycobacterial, fungal, and parasitic infections, autoimmune diseases, auto-inflammatory syndromes, and tumours, particularly T cell malignancies."
Actin modifications at the cell surface,membrane ruffling and macropinosome internalization,"Actin modifications at the cell surface then cause membrane ruffling and macropinosome internalization, in addition to filopodia that can facilitate spike proteinreceptor interactions with neighboring cells."
Activation of microthrombotic pathway,much more deadly septic syndromes via generalized EA-VMTD/DIT,Activation of microthrombotic pathway causes much more deadly septic syndromes via generalized EA-VMTD/DIT.
Activation of RNase-L,a conformational change,Activation of RNase-L may then cause a conformational change that induces its release from FLNA.
meningeal inflammation,Active cortical lesions,"Active cortical lesions are associated with meningeal inflammation, which, in its most severe form, may reflect inflammatory cell aggregates with features of tertiary lymph follicles."
Active HSV1 infection,severe damage,Active HSV1 infection causessevere damage and usually leads to cell death.
Acute ethanol administration,prominent hepatic microvesicular steatosis with mild necrosis and an elevation of serum ALT activity,"Acute ethanol administration caused prominent hepatic microvesicular steatosis with mild necrosis and an elevation of serum ALT activity, induced a significant decrease in hepatic glutathione in conjunction with enhanced lipid peroxidation (oxidative stress) and increased hepatic TNF (necrosis factor-alpha) production."
Acute ethanol administration,increased hepatic TNF (necrosis factor-alpha) production,"Acute ethanol administration caused prominent hepatic microvesicular steatosis with mild necrosis and an elevation of serum ALT activity, induced a significant decrease in hepatic glutathione in conjunction with enhanced lipid peroxidation (oxidative stress) and increased hepatic TNF (necrosis factor-alpha) production."
Acute ethanol administration,a significant decrease in hepatic glutathione in conjunction with enhanced lipid peroxidation (oxidative stress),"Acute ethanol administration caused prominent hepatic microvesicular steatosis with mild necrosis and an elevation of serum ALT activity, induced a significant decrease in hepatic glutathione in conjunction with enhanced lipid peroxidation (oxidative stress) and increased hepatic TNF (necrosis factor-alpha) production."
Acute ethanol administration,prominent hepatic microvesicular steatosis with mild necrosis and an elevation of serum ALT activity,"Acute ethanol administration caused prominent hepatic microvesicular steatosis with mild necrosis and an elevation of serum ALT activity, induced a significant decrease in hepatic glutathione in conjunction with enhanced lipid peroxidation (oxidative stress) and increased hepatic TNF (necrosis factor-alpha) production."
Acute promyelocytic leukemia,consumption coagulopathy,Acute promyelocytic leukemia causes consumption coagulopathy due to lone activation of TF path.
lone activation of TF path,consumption coagulopathy,Acute promyelocytic leukemia causes consumption coagulopathy due to lone activation of TF path.
Acute viral infections,severe complications,"Acute viral infections usually cause severe complications associated with hyper induction of pro-inflammatory cytokines, which is also known as ""cytokine storm"" firstly named in severe influenza disease 38, 39 ."
hyper induction of pro-inflammatory cytokines,severe complications,"Acute viral infections usually cause severe complications associated with hyper induction of pro-inflammatory cytokines, which is also known as ""cytokine storm"" firstly named in severe influenza disease 38, 39 ."
a swine-to-human spillover event,"IAV is also endemic in pigs, with the 2009 H1N1 global pandemic","Additionally, IAV is also endemic in pigs, with the 2009 H1N1 global pandemic caused from  a swine-to-human spillover event."
a translational frameshift,an alternative larger form of NS1,"Additionally, the expression level of WNV NS1' , an alternative larger form of NS1 resulting from a translational frameshift was shown to influence the specific infectivity in trans-complementation experiments in BHK-21 cells (Winkelmann et al., 2011) ."
any inflammatory response,the normal regulatory mechanisms,"Additionally, the normal regulatory mechanisms that are induced by any inflammatory responseare triggered by a viral infection."
Adenoma of the subepithelial glands,compression of the adjacent structures,Adenoma of the subepithelial glands  causes  compression of the adjacent structures.
Administration of both ACTH,a significant increase in cortisol concentration,Administration of both ACTH doses caused a significant increase in cortisol concentration (P < 0.001 for both).
Administration of high doses of glycyrrhizin,pseudoaldosteronism,Administration of high doses of glycyrrhizin  causes  pseudoaldosteronism that may leads to several adverse effects.
Administration to healthy dogs,significant changes in the microbiome,"Administration to healthy dogs causes  significant changes in the microbiome , some of which persist  following discontinuation of the drug with unknown clinical effects (29, 30) ."
Administration to healthy dogs,following discontinuation of the drug with unknown clinical effects,"Administration to healthy dogs causes  significant changes in the microbiome , some of which persist  following discontinuation of the drug with unknown clinical effects (29, 30) ."
Aspergillus,Aflatoxin,"Aflatoxin produced by Aspergillus can cause seriously toxic and carcinogenic effects upon human health, and Trichosporon  can cause  superficial and systemic infection in humans, including hylactic pneumonia."
Trichosporon,hylactic pneumonia,"Aflatoxin produced by Aspergillus can cause seriously toxic and carcinogenic effects upon human health, and Trichosporon  can cause  superficial and systemic infection in humans, including hylactic pneumonia."
Trichosporon,superficial and systemic infection,"Aflatoxin produced by Aspergillus can cause seriously toxic and carcinogenic effects upon human health, and Trichosporon  can cause  superficial and systemic infection in humans, including hylactic pneumonia."
Aspergillus,seriously toxic and carcinogenic effects,"Aflatoxin produced by Aspergillus can cause seriously toxic and carcinogenic effects upon human health, and Trichosporon  can cause  superficial and systemic infection in humans, including hylactic pneumonia."
PRRSV,a series of intracellular modifications,"After cell entry, PRRSV causes a series of intracellular modifications to complete its replication cycle, which includes rearrangements of intracellular membrane organelles to generate the replication complex."
activated T-cell proliferation,dye dilution,"After incubation with different peptides, antigen stimulation is evaluated through dye dilution caused by activated T-cell proliferation."
RSV,epithelial cells to fuse,"After infection and viral replication, RSV causes epithelial cells to fuse, forming a syncytium from which the virus spreads from cell to cell (88) ."
viruses,cytopathology,"After inoculation, the viruses cause cytopathology, which is different according to the cell type used."
acute exacerbations of COPD,18 years with ARF,All participants were 18 years with ARF due to acute exacerbations of COPD.
atopy and allergic clinical manifestations,Allelic variations in this gene,Allelic variations in this gene have been associated with atopy and allergic clinical manifestations.
abnormal protein aggregation in Alzheimer's and Parkinson's diseases,the blood brain barrier (BBB) P-gp,"Also,  the blood brain barrier (BBB) P-gp  was associated with  abnormal protein aggregation in Alzheimer's and Parkinson's diseases, suggesting the potential use of the herb in neurodegenerative disorders [302] ."
strong S100A12 response,experimental infection in cattle with Echinococcus granulosus,"Also, experimental infection in cattle with Echinococcus granulosus was associated with a strong S100A12 response."
neutralizing antibodies directed against spike protein in SARS-CoV-1 patients,an increased risk of Acute Lung Injury,"Also, neutralizing antibodies directed against spike protein in SARS-CoV-1 patients have been associated with an increased risk of Acute Lung Injury (ALI)"
point mutations,N-terminal cysteines,"Alternative studies made point mutations affecting the N-terminal cysteines involved in the stabilization of SP-D HMW multimers, or deletions of the collagen region and/or the N-terminal region."
all STEC,diarrhoea,"Although all STEC can conceivably cause diarrhoea, the risk and severity of infection is linked to the presence of virulence factors, in particular stx2a and eae."
a pathogen-associated molecular pattern-activated response,induction of inflammation,"Although an immune privilege organ, an ocular ZIKV infection manifests as conjunctivitis and pan-uveitis, the former being the more common form of disease, in addition to induction of inflammation resulting from a pathogen-associated molecular pattern-activated response or the production of cytokines, cell death, and/or recruitment of leukocytes."
cell death,induction of inflammation,"Although an immune privilege organ, an ocular ZIKV infection manifests as conjunctivitis and pan-uveitis, the former being the more common form of disease, in addition to induction of inflammation resulting from a pathogen-associated molecular pattern-activated response or the production of cytokines, cell death, and/or recruitment of leukocytes."
recruitment of leukocytes,induction of inflammation,"Although an immune privilege organ, an ocular ZIKV infection manifests as conjunctivitis and pan-uveitis, the former being the more common form of disease, in addition to induction of inflammation resulting from a pathogen-associated molecular pattern-activated response or the production of cytokines, cell death, and/or recruitment of leukocytes."
the production of cytokines,induction of inflammation,"Although an immune privilege organ, an ocular ZIKV infection manifests as conjunctivitis and pan-uveitis, the former being the more common form of disease, in addition to induction of inflammation resulting from a pathogen-associated molecular pattern-activated response or the production of cytokines, cell death, and/or recruitment of leukocytes."
conventional immunosuppressants,severe side effects,"Although conventional immunosuppressants can prevent acute rejection, they may also cause severe side effects, including tumors and infections."
bystander apoptosis,induced periods of transient or chronic lymphocytopenia,"Although protection from apoptosis of infected cells is a strategy for survival for a number of viruses, induced periods of transient or chronic lymphocytopenia brought about by bystander apoptosis is thought to contribute to the generalized immunosuppression that accompanies some viral infections."
activated complement,the destructive action to the host endothelium,"Although the major role of complement is protective function for the host through innate immune defense,  activated complement could also cause  the destructive action to the host endothelium, which impacts the course of sepsis as illustrated in Fig. 1 ."
a single nucleotide polymorphism within the sixth intron of the tnfr1 gene,increased susceptibility to MS,Although the underlying mechanism remains unknown the recent finding that increased susceptibility to MS is associated with a single nucleotide polymorphism within the sixth intron of the tnfr1 gene calls upon further investigation as to the role the TNFR1 pathway in this disease.
diarrhea,malnutrition,"Although typically a smaller fraction of the enteric virome, mammalian viruses may cause diseases such as diarrhea resulting in malnutrition and dehydration."
diarrhea,dehydration,"Although typically a smaller fraction of the enteric virome, mammalian viruses may cause diseases such as diarrhea resulting in malnutrition and dehydration."
a smaller fraction of the enteric virome,diseases,"Although typically a smaller fraction of the enteric virome, mammalian viruses may cause diseases such as diarrhea resulting in malnutrition and dehydration."
mammalian viruses,diseases,"Although typically a smaller fraction of the enteric virome, mammalian viruses may cause diseases such as diarrhea resulting in malnutrition and dehydration."
a viral infection,pneumonia and alveolar damage,Alveolar epithelial ALI cultures (Fig. 1b) can also be used for virus-host interaction studies and are especially applicable when  a viral infection causes  pneumonia and alveolar damage.
"Amiodarone, Dronedarone and Toremifene administration",increased risk of QT prolongation and Torsades de pointes,"Amiodarone, Dronedarone and Toremifene administration is associated with an increased risk of QT prolongation and Torsades de pointes."
a wide variety of microbes,CAP,"Among children, CAP may be caused by a wide variety of microbes, including ''typical'' bacteria (e.g., Streptococcus pneumonia) and atypical bacteria, Mycobacterium tuberculosis and fungi."
anti-cancer chemotherapy,immune suppression,"Among viruses, Herpesviridae, which maintains latency and reactivates during immune suppression caused by anti-cancer chemotherapy and hematopoietic cell transplantation (HCT), is considered a major pathogen."
an mRNA-LNP-independent response to repeated treatment,the potential unspecific effect,"Amongst other explanations, the potential unspecific effect may be due to an mRNA-LNP-independent response to repeated treatment or may be the consequence of a weak and transient cytokine response observed after mRNA-LNP administration."
parasitism,limiting the distribution range of hosts through the extinction of local hosts by virulent parasites,"An alternative explanation produced by a theoretical study, attributes a direct role of parasitism in limiting the distribution range of hosts through the extinction of local hosts by virulent parasites."
these pathogens,infections,An antiadhesion strategy targeting N-CEACAM1 may therefore provide a unified approach to control infections caused by these pathogens and an alternative to antibiotic treatment.
a unique mechanism,low (high) values of incidence rate,"An HL (LH) outlier means a high (low) value surrounded primarily by low (high) values of incidence rate, which may be caused by a unique mechanism."
single patient,mean number of secondary infections,An important indicator of outbreaks is the basic reproductive number R 0 defined as the mean number of secondary infections produced by a single patient in a susceptible population.
aggravating cerebral hypoxia,cerebral edema and nerve cell damage,"An increase in body temperature leads to  an increased oxygen consumption in brain tissue, and  aggravating cerebral hypoxia, which causes cerebral edema and nerve cell damage."
aggravating cerebral hypoxia,nerve cell damage,"An increase in body temperature leads to  an increased oxygen consumption in brain tissue, and  aggravating cerebral hypoxia, which causes cerebral edema and nerve cell damage."
An increase in body temperature,an increased oxygen consumption in brain tissue,"An increase in body temperature leads to  an increased oxygen consumption in brain tissue, and  aggravating cerebral hypoxia which causes cerebral edema and nerve cell damage."
An increase in body temperature,aggravating cerebral hypoxia,"An increase in body temperature leads to  an increased oxygen consumption in brain tissue, and  aggravating cerebral hypoxia, which causes cerebral edema and nerve cell damage."
An increase in ccf-mtDNA levels,anemia,An increase in ccf-mtDNA levels is associated with anemia and an acute reactive protein response.
An increase in ccf-mtDNA levels,an acute reactive protein response,An increase in ccf-mtDNA levels is associated with anemia and an acute reactive protein response.
a combination of these effects,An increase in the number of cases,"An increase in the number of cases  can be caused by  an increased R eff ,  an increased rate of primary cases , or  a combination of these effects."
an increased R eff,An increase in the number of cases,"An increase in the number of cases  can be caused by  an increased R eff ,  an increased rate of primary cases , or  a combination of these effects."
an increased rate of primary cases,An increase in the number of cases,"An increase in the number of cases  can be caused by  an increased R eff ,  an increased rate of primary cases , or  a combination of these effects."
An increase in the RT from 22 to 36 h,a shift in cycles of about 2 days,An increase in the RT from 22 to 36 h caused a shift in cycles of about 2 days.
An infection,respiratory distress,"An infection can cause respiratory distress, fever, anorexia and subcutaneous emphysema and can lead to secondary bacterial pneumonia and death."
An infection,fever,"An infection can cause respiratory distress, fever, anorexia and subcutaneous emphysema and can lead to secondary bacterial pneumonia and death."
An infection,anorexia,"An infection can cause respiratory distress, fever, anorexia and subcutaneous emphysema and can lead to secondary bacterial pneumonia and death."
An infection,subcutaneous emphysema,"An infection can cause respiratory distress, fever, anorexia and subcutaneous emphysema and can lead to secondary bacterial pneumonia and death."
An infection,secondary bacterial pneumonia,"An infection can cause respiratory distress, fever, anorexia and subcutaneous emphysema and can lead to secondary bacterial pneumonia and death."
An infection,death,"An infection can cause respiratory distress, fever, anorexia and subcutaneous emphysema and can lead to secondary bacterial pneumonia and death."
an HPS-causing hantavirus,lethal disease in immunocompetent hamsters,"Andes virus (ANDV), an HPS-causing hantavirus causes lethal disease in immunocompetent hamsters , while numerous other HPS-causing hantaviruses including Sin Nombre Virus (SNV) and Choclo virus cause lethal disease in hamsters immunosuppressed with dexamethasone and cyclophosphamide."
Andes virus (ANDV),lethal disease in immunocompetent hamsters,"Andes virus (ANDV), an HPS-causing hantavirus causes lethal disease in immunocompetent hamsters , while numerous other HPS-causing hantaviruses including Sin Nombre Virus (SNV) and Choclo virus cause lethal disease in hamsters immunosuppressed with dexamethasone and cyclophosphamide."
Angiogenic agents of the type Sorafenib,an increase in overall survival by 44 %,Angiogenic agents of the type Sorafenib may cause an increase in overall survival by 44 % compared to placebo in patients with advanced HCC.
Annual influenza epidemics worldwide,three to five million cases of severe illness,Annual influenza epidemics worldwide cause approximately three to five million cases of severe illness and 290 000-650 000 deaths every year.
Annual influenza epidemics worldwide,290 000-650 000 deaths,Annual influenza epidemics worldwide cause approximately three to five million cases of severe illness and 290 000-650 000 deaths every year.
humoral immune response after infection with viruses,Antibodies,Antibodies are the products of humoral immune response after infection with viruses.
animal cells,Antimicrobial peptides (AMPs),Antimicrobial peptides (AMPs) produced by animal cells provide a first line of defense against potentially infectious microorganisms.
Antineoplastics,necrosis of the anterior lenticular epithelium,Antineoplastics and radiomimetics can cause necrosis of the anterior lenticular epithelium.
radiomimetics,necrosis of the anterior lenticular epithelium,Antineoplastics and radiomimetics can cause necrosis of the anterior lenticular epithelium.
a variety of physiological and pathological stimuli,Apoptosis,Apoptosis  may be triggered by  a variety of physiological and pathological stimuli.
antibiotic treatment for bacteria,atypical pneumonias,"Awaiting test results, 19 patients received antibiotic treatment for bacteria causing atypical pneumonias."
antibiotic-resistant strains,severe infections,"Background Staphylococcus aureus has a high incidence in human infectious pathology, registering severe infections caused by antibiotic-resistant strains."
natural selection,all life on Earth,"Because all life on Earth is the product of natural selection, humans are first defined by evolutionary trade-offs related to fitness."
elevated Ki67 expression in T cells,increased risk of AIDS,"Because the increased Ki67 expression might reflect the proliferation of cells entering an activated state, studies have suggested that elevated Ki67 expression in T cells is associated with an increased risk of AIDS in both HIV-1-and SIV-infected individuals."
Bereavement,an excess risk of mortality in the surviving spouses,Bereavement is associated with an excess risk of mortality in the surviving spouses.
"a primer dimer formation between nCoV-2019_18_LEFT and nCoV-2019_76_RIGHT,",the rapid decrease of the amplification efficiencies of those amplicons,"bioRxiv preprint observation, we reasoned that  the rapid decrease of the amplification efficiencies of those amplicons was due to  a primer dimer formation between nCoV-2019_18_LEFT and nCoV-2019_76_RIGHT, that could compete to the amplification of desired targets."
a spectrum of Bartonella spp,Blood culture-negative endocarditis and bacteremia,Blood culture-negative endocarditis and bacteremia can also be induced by a spectrum of Bartonella spp.
a single introduction event with R 0 and dispersion parameter,an analytical distribution for the number of eventual cases j in a transmission chain resulting,Branching process theory provides an analytical distribution for the number of eventual cases j in a transmission chain resulting from a single introduction event with R 0 and dispersion parameter !
an escape mutation,C Potential R 0,C Potential R 0 resulting from an escape mutation
Clonal immunoglobulins are produced by a single B-lymphocyte clone,an excessive amount of immunoglobulins or subunits thereof,"Clonal immunoglobulins are produced by a single B-lymphocyte clone, which yields an excessive amount of immunoglobulins or subunits thereof, such as kappa (Îº) or lambda (Î») light chains and heavy chains."
the presence or absence of other Sia modifications,HE ligand preference,"Conceivably, HE ligand preference could be influenced by the presence or absence of other Sia modifications such as 5-N-glycolylation, (2) the type of glycosidic linkage, and/or (3) the overall composition and structure of the underlying glycan."
COVID-19,direct and indirect transmission of respiratory diseases,"COVID-19 is an emerging disease, these viruses cause direct and indirect transmission of respiratory diseases with a wide range of asymptomatic, cold symptoms from respiratory/fever symptoms, cough, shortness of breath to kidney failure and death, leading to more severe respiratory illness epidemic and pandemic in most countries of the world (9) ."
viruses,transmission of respiratory diseases,"COVID-19 is an emerging disease, these viruses cause direct and indirect transmission of respiratory diseases with a wide range of asymptomatic, cold symptoms from respiratory/fever symptoms, cough, shortness of breath to kidney failure and death, leading to more severe respiratory illness epidemic and pandemic in most countries of the world (9) ."
"a pathogenic protozoan, of the genus Cryptosporidium (Apicomplexa: Cryptosporidiidae)",Cryptosporidiosis,"Cryptosporidiosis is a common gastrointestinal disease caused by a pathogenic protozoan, of the genus Cryptosporidium (Apicomplexa: Cryptosporidiidae), which affects all mammals, birds, reptiles, and possibly fish New Zealand health authorities reported 19.7 cases per 100,000 between 2004 and 2011, although there were significant regional differences that correlated to exposure to livestock The national reported incidence in 2012 was 31.1 per 100,000-a significant increase from previous years."
pathogenic protozoan,Cryptosporidiosis,"Cryptosporidiosis is a common gastrointestinal disease caused by a pathogenic protozoan, of the genus Cryptosporidium (Apicomplexa: Cryptosporidiidae), which affects all mammals, birds, reptiles, and possibly fish New Zealand health authorities reported 19.7 cases per 100,000 between 2004 and 2011, although there were significant regional differences that correlated to exposure to livestock The national reported incidence in 2012 was 31.1 per 100,000-a significant increase from previous years."
dysfunction or absence of the Cystic Fibrosis Transmembrane Conductor Regulator protein (CFTR),Cystic fibrosis (CF),"Cystic fibrosis (CF), caused by dysfunction or absence of the Cystic Fibrosis Transmembrane Conductor Regulator protein (CFTR) genetically predisposes those affected to bronchiectasis; but this condition is most prevalent in Caucasian populations and is less commonly encountered in Asians."
acute respiratory tract infections,D and reduced the risk of asthma exacerbation,D and reduced the risk of asthma exacerbation triggered by  acute respiratory tract infections.
adrenal dysfunction,Decreased steroid concentrations,Decreased steroid concentrations in all groups can be attributed to adrenal dysfunction (septic foals) as well as physiological postnatal steroidogenesis (healthy foals).
physiological postnatal steroidogenesis,Decreased steroid concentrations,Decreased steroid concentrations in all groups can be attributed to adrenal dysfunction (septic foals) as well as physiological postnatal steroidogenesis (healthy foals).
all four serotypes of the dengue virus,an acute viral infection,"Dengue fever is an acute viral infection caused by all four serotypes of the dengue virus, and is one of the seventeen ""Neglected Tropical Diseases"" (NTDs) defined by the World Health Organization."
the chosen numerical representation,each nucleotide is associated with a specific numerical value or vector,"Depending on  the chosen numerical representation,  each nucleotide is associated with a specific numerical value or vector."
antimicrobial resistance,Diabetes,Diabetes is associated with antimicrobial resistance (AMR).
Th-17 cells,allograft rejection,"Due to their pro-inflammatory effect, Th-17 cells have also been associated with allograft rejection and autoimmune disease."
Th-17 cells,autoimmune disease,"Due to their pro-inflammatory effect, Th-17 cells have also been associated with allograft rejection and autoimmune disease."
a number of local and systemic conditions,Dysbiosis of the gut microbiota,"Dysbiosis of the gut microbiota has been associated with  a number of local and systemic conditions , including  respiratory diseases."
respiratory diseases,Dysbiosis of the gut microbiota,"Dysbiosis of the gut microbiota has been associated with  a number of local and systemic conditions , including  respiratory diseases."
"a wide range of diseases in humans, from gastrointestinal illnesses",Dysbiosis of the intestinal microbiota,"Dysbiosis of the intestinal microbiota has been associated with  a wide range of diseases in humans, from gastrointestinal illnesses"
an imbalance in the normal composition of the microbiome,inflammatory bowel disease,"Dysbiosis, or an imbalance in the normal composition of the microbiome, is associated with a variety of chronic diseases, many of which are characterized by chronic inflammation or abnormal metabolism, including inflammatory bowel disease, cardiovascular disease, and diabetes."
an imbalance in the normal composition of the microbiome,a variety of chronic diseases,"Dysbiosis, or an imbalance in the normal composition of the microbiome, is associated with a variety of chronic diseases, many of which are characterized by chronic inflammation or abnormal metabolism, including inflammatory bowel disease, cardiovascular disease, and diabetes."
Dysbiosis,a variety of chronic diseases,"Dysbiosis, or an imbalance in the normal composition of the microbiome, is associated with a variety of chronic diseases, many of which are characterized by chronic inflammation or abnormal metabolism, including inflammatory bowel disease, cardiovascular disease, and diabetes."
"Dysbiosis, or an imbalance in the normal composition of the microbiome",variety of chronic diseases,"Dysbiosis, or an imbalance in the normal composition of the microbiome, is associated with a variety of chronic diseases, many of which are characterized by chronic inflammation or abnormal metabolism, including inflammatory bowel disease, cardiovascular disease, and diabetes."
excess production of certain cytokines,illness,"Each cytokine plays a vital role in the generation of a normal immune response, and the excess production of certain cytokines, such as TNF-Î±, can also cause illness."
lower temperatures and sunshine duration,admissions for RVI,"Earlier investigations have demonstrated that lower temperatures and sunshine duration, conditions usually encountered in winter, were associated with admissions for RVI."
a point mutation of transthyretin,the pathogenesis of familial amyloid polyneuropathy,"EGCG was also reported to bind to transthyretin, which is involved in the pathogenesis of familial amyloid polyneuropathy, a disease caused by a point mutation of transthyretin, that is a thyroxine transporter."
